sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,physiological category,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
1,14,"Aragon, P",10.1007/s10164-010-0224-2,Lissotriton boscai,amphibian,ectotherm,indeterminate,temperate,temperate,iteroparous,no sex bias,yes,promiscuity,none,females larger,adults,latency to eat unknown food item,s,high values = slow,behavior,semiwild,2.55,0.48,41.00,2.65,0.96,41.00,boldness,,0,1,0,"means: Figure 2a,b ",1,,1
2,14,"Aragon, P",10.1007/s10164-010-0224-2,Lissotriton boscai,amphibian,ectotherm,indeterminate,temperate,temperate,iteroparous,no sex bias,yes,promiscuity,none,females larger,adults,number of agonistic interactions without competition,No,high values = fast,behavior,semiwild,1.30,3.52,41.00,0.10,0.64,41.00,aggression,,0,1,1,Fig 3 (control) ,1,,1
3,14,"Aragon, P",10.1007/s10164-010-0224-2,Lissotriton boscai,amphibian,ectotherm,indeterminate,temperate,temperate,iteroparous,no sex bias,yes,promiscuity,none,females larger,adults,number of agonistic interactions with competition,No,high values = fast,behavior,semiwild,1.20,3.52,41.00,6.50,9.28,41.00,aggression,,0,1,1,Fig 3(competition) ,1,,1
4,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,TI duration,s,high values = fast,behavior,lab,36.60,40.18,5.00,54.60,81.48,5.00,stress-coping,,0,1,0, ,1,,1
5,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Total distance travelled,cm,high values = fast,behavior,lab,53.64,19.74,4.00,155.20,157.67,5.00,activity,,0,1,1, ,1,,1
6,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Net distance travelled,cm,high values = fast,behavior,lab,36.43,25.86,4.00,62.26,47.36,5.00,activity,,0,1,1, ,1,,1
7,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Latency to cross barrier,s,high values = slow,behavior,lab,401.00,585.17,3.00,45.00,17.06,3.00,boldness,,0,1,2, ,1,,1
8,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,"Activity level, barrier threat",No,high values = fast,behavior,lab,6.80,3.78,5.00,5.33,6.71,6.00,activity,,0,1,1, ,1,,1
9,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,"Activity level, familiar flock",No,high values = fast,behavior,lab,5.20,5.46,5.00,4.00,5.49,6.00,activity,,0,1,1, ,1,,1
10,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,"Activity level, unattractive novel object",No,high values = fast,behavior,lab,0.40,0.54,5.00,3.00,5.20,3.00,activity,,0,1,1, ,1,,1
